genome_id,genome_name,antibiotic,resistant_phenotype,label,organism
562.102862,Escherichia coli Escherichia_coli_DSM112128,trimethoprim,susceptible,0,Escherichia coli
562.102863,Escherichia coli Escherichia_coli_DSM112121,ampicillin,susceptible,0,Escherichia coli
562.102863,Escherichia coli Escherichia_coli_DSM112121,ciprofloxacin,susceptible,0,Escherichia coli
562.102863,Escherichia coli Escherichia_coli_DSM112121,gentamicin,susceptible,0,Escherichia coli
562.102863,Escherichia coli Escherichia_coli_DSM112121,imipenem,susceptible,0,Escherichia coli
562.102863,Escherichia coli Escherichia_coli_DSM112121,tetracycline,susceptible,0,Escherichia coli
562.102863,Escherichia coli Escherichia_coli_DSM112121,trimethoprim,susceptible,0,Escherichia coli
562.102864,Escherichia coli Escherichia_coli_DSM112113,ampicillin,susceptible,0,Escherichia coli
562.102864,Escherichia coli Escherichia_coli_DSM112113,ciprofloxacin,susceptible,0,Escherichia coli
562.102864,Escherichia coli Escherichia_coli_DSM112113,gentamicin,susceptible,0,Escherichia coli
562.102864,Escherichia coli Escherichia_coli_DSM112113,imipenem,susceptible,0,Escherichia coli
562.102864,Escherichia coli Escherichia_coli_DSM112113,tetracycline,susceptible,0,Escherichia coli
562.102864,Escherichia coli Escherichia_coli_DSM112113,trimethoprim,susceptible,0,Escherichia coli
562.102865,Escherichia coli Escherichia_coli_DSM112109,ampicillin,susceptible,0,Escherichia coli
562.102865,Escherichia coli Escherichia_coli_DSM112109,ciprofloxacin,susceptible,0,Escherichia coli
562.102865,Escherichia coli Escherichia_coli_DSM112109,gentamicin,susceptible,0,Escherichia coli
562.102865,Escherichia coli Escherichia_coli_DSM112109,imipenem,susceptible,0,Escherichia coli
562.102865,Escherichia coli Escherichia_coli_DSM112109,tetracycline,susceptible,0,Escherichia coli
562.102865,Escherichia coli Escherichia_coli_DSM112109,trimethoprim,susceptible,0,Escherichia coli
562.102866,Escherichia coli Escherichia_coli_DSM112117,ampicillin,susceptible,0,Escherichia coli
562.102866,Escherichia coli Escherichia_coli_DSM112117,ciprofloxacin,susceptible,0,Escherichia coli
562.102866,Escherichia coli Escherichia_coli_DSM112117,gentamicin,susceptible,0,Escherichia coli
562.102866,Escherichia coli Escherichia_coli_DSM112117,imipenem,susceptible,0,Escherichia coli
562.102866,Escherichia coli Escherichia_coli_DSM112117,tetracycline,susceptible,0,Escherichia coli
562.102866,Escherichia coli Escherichia_coli_DSM112117,trimethoprim,susceptible,0,Escherichia coli
562.102867,Escherichia coli Escherichia_coli_DSM112112,ampicillin,susceptible,0,Escherichia coli
562.102867,Escherichia coli Escherichia_coli_DSM112112,ciprofloxacin,susceptible,0,Escherichia coli
562.102867,Escherichia coli Escherichia_coli_DSM112112,gentamicin,susceptible,0,Escherichia coli
562.102867,Escherichia coli Escherichia_coli_DSM112112,imipenem,susceptible,0,Escherichia coli
562.102867,Escherichia coli Escherichia_coli_DSM112112,tetracycline,susceptible,0,Escherichia coli
562.102867,Escherichia coli Escherichia_coli_DSM112112,trimethoprim,susceptible,0,Escherichia coli
562.102868,Escherichia coli Escherichia_coli_DSM112122,ampicillin,susceptible,0,Escherichia coli
562.102868,Escherichia coli Escherichia_coli_DSM112122,ciprofloxacin,susceptible,0,Escherichia coli
562.102868,Escherichia coli Escherichia_coli_DSM112122,gentamicin,susceptible,0,Escherichia coli
562.102868,Escherichia coli Escherichia_coli_DSM112122,imipenem,susceptible,0,Escherichia coli
